input_prompt,question,correct_answers,output_prediction,processed_answer
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In the 1994 Cash for Questions affair, in which the Guardian exposed two Tory MPs taking payments from Mohamed Al-Fayed, who was the MP for Beaconsfield implicated?\nA:""]","In the 1994 Cash for Questions affair, in which the Guardian exposed two Tory MPs taking payments from Mohamed Al-Fayed, who was the MP for Beaconsfield implicated?","['tim smith disambiguation', 'timothy smith', 'tim smith', 'smith tim']"," Tim Smith
Q: Who was the", Tim Smith
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Ari Folman's acclaimed 2008 film was 'Waltz with...' whom?\nA:""]",Ari Folman's acclaimed 2008 film was 'Waltz with...' whom?,"['bashir', 'basheer disambiguation', 'basheer', 'bashir disambiguation']"," Bashir
Q: What is the", Bashir
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""The Jacques Brel song """"Le moribond"""" (translation """"the dying man"""") was a hit in English for Terry Jacks under what title?""\nA:']","""The Jacques Brel song """"Le moribond"""" (translation """"the dying man"""") was a hit in English for Terry Jacks under what title?""","['seasons in sun', 'seasons in sun', 'seasons in sun', 'sommar varje dag', 'seasons in sun', 'le moribond', 'seasons in sun']"," ""Seasons in the Sun""
Q"," ""Seasons in the Sun"""
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which Scot did Bob Crow succeed in 2001 as General Secretary of the RMT Union?\nA:""]",Which Scot did Bob Crow succeed in 2001 as General Secretary of the RMT Union?,"['jimmy knapp', 'jimmy knapp']"," Jimmy Knapp
Q: In which", Jimmy Knapp
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""Which opera features the """"Humming Chorus""""?""\nA:']","""Which opera features the """"Humming Chorus""""?""","['madam butterfly', 'lieutenant pinkerton', 'madama butterfly', 'un bel di vedremo', 'b f pinkerton', 'ciociosan', 'cio cio san', 'ciocio san', 'un bel dì vedremo', 'un bel di', 'madame butterfly', 'bf pinkerton', 'vogliatemi bene', 'un bel di']"," ""Madame Butterfly""
Q: What"," ""Madame Butterfly"""
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: The Clore Gallery at Tate Britain was built to house which painter's works?\nA:""]",The Clore Gallery at Tate Britain was built to house which painter's works?,"['turner collection', 'jmwturner', 'joseph w tuner', 'jmw turner', 'turnerian', 'jmw turner', 'turner bequest', 'jwm turner', 'joseph mallard william turner', 'turner painter', 'j m w turner', 'j m w turner', 'joseph mallord william turner ra', 'jnw turner', 'joseph m w turner', 'joseph mallord william turner', 'jmw turner', 'john mallord william turner', 'joseph william turner', 'turneresque', 'jmwturner']"," J.M.W. Turner
Q:", J.M.W. Turner
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the US word for an automotive wheel nut or the brace used to loosen/tighten one?\nA:""]",What is the US word for an automotive wheel nut or the brace used to loosen/tighten one?,"['lugs', 'lug', 'lugging', 'lug disambiguation', 'lug', 'lugged', 'lug disambiguation']"," Lug Nut
Q: What is the", Lug Nut
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Whose head was stuck on the roof of parliament after his body had been exhumed?\nA:""]",Whose head was stuck on the roof of parliament after his body had been exhumed?,"['cromwell', 'cultural depictions of oliver cromwell', 'cromwell oliver', 'oliver cromwell', 'lord protector oliver cromwell', 'oliver cromwell person', 'noll cromwell', 'oliver cromwell', 'oliver cromwell lord protector', 'old noll', 'cromwells', 'cromwellian', 'oliver cromwells', 'copper nose', 'o cromwell', 'cromwell oliver lord protector']"," Guy Fawkes
Q: What", Guy Fawkes
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""According to a 2009 adventure family film starring Ashley Tisdale, Carter Jenkins, Robert Hoffman, Henri Young, Regan Young and Austin Butler, """"The aliens are"""" where?""\nA:']","""According to a 2009 adventure family film starring Ashley Tisdale, Carter Jenkins, Robert Hoffman, Henri Young, Regan Young and Austin Butler, """"The aliens are"""" where?""","['in attic', 'in attic', 'in attic disambiguation']"," Earth
Q: Who was the first", Earth
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which college was founded by Henry VI in 1440?\nA:""]",Which college was founded by Henry VI in 1440?,"['eton', 'eton disambiguation']"," King's College, Cambridge
Q:"," King's College, Cambridge"
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: At the time of the northern solstice, the sun is directly over which line of latitude around the Earth?\nA:""]","At the time of the northern solstice, the sun is directly over which line of latitude around the Earth?","['northern tropic', 'tropic of cancer', 'tropic of taurus', 'tropic of cancer', 'tropic of gemini']"," The Tropic of Cancer
Q:", The Tropic of Cancer
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Under what sign of the Zodiac is someone who has their birthday on Christmas Day?\nA:""]",Under what sign of the Zodiac is someone who has their birthday on Christmas Day?,"['capricorni', 'capricorn', 'capricorne', 'capricorn disambiguation', 'capricorn album', 'capricorns', 'capricorn']"," Capricorn
Q: What is", Capricorn
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: The Estoril Grand Prix circuit is in which European country?\nA:""]",The Estoril Grand Prix circuit is in which European country?,"['portogało', 'republic of portugal', 'portugal', 'portekiz', 'portugallu', 'o papagaio', 'iso 31661pt', 'portunga', 'phutoga', 'potigal', 'portûnga', 'portugul', 'phortaingéil', 'portugāle', 'portugale', 'portingale', 'potiti', 'portugali', 'portugall', 'portekîz', 'bo dao nha', 'portuguese republic', 'portogallo', 'portugaul', 'portogalo', 'portyngal', 'yn phortiugal', 'portugalio', 'portugál', 'portugual', 'portuga', 'portgual', 'portugalsko', 'portugaleje', 'phûtôgâ', 'portugalujo', 'portugalija', 'pertual', 'pòtigal', 'portugal', 'bồ đào nha', 'portugalska', 'república portuguesa', 'portiwgal', 'portugalėjė', 'portúgal', 'portegal', 'phortaingeil', 'republica portuguesa']"," Portugal
Q: Who was the first", Portugal
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who were the first ever winners of the FA Cup, in 1872?\nA:""]","Who were the first ever winners of the FA Cup, in 1872?","['wanderer', 'wanderer disambiguation', 'wanderer album', 'wanderer', 'wanderer album', 'wanderer song', 'wanderers', 'wanderer disambiguation', 'wanderers', 'wanderers', 'wanderers', 'wanderer novel', 'wanderers novel']"," Wanderers
Q: Who was the", Wanderers
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which sportsman won the fourth series of the British television show ‘Strictly Come Dancing’ in 2006?\nA:""]",Which sportsman won the fourth series of the British television show ‘Strictly Come Dancing’ in 2006?,"['mark ramprakash', 'mark ravin ramprakash']"," Mark Ramprakash
Q: Which", Mark Ramprakash
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who was the first British golfer to win the US Masters?\nA:""]",Who was the first British golfer to win the US Masters?,"['lyle sandy', 'sandy alexander walter barr lyle', 'lyle sandy alexander walter barr', 'sandy lyle', 'sandy lyle']"," Nick Faldo
Q: Who was", Nick Faldo
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who was the author of 'Daniel Deronda' published in 1876?\nA:""]",Who was the author of 'Daniel Deronda' published in 1876?,"['mary ann evans', 'eliot george', 'mary ann cross', 'george eliot', 'g eliot', 'marian evans', 'mrs cross', 'george eliot', 'george marian evans eliot']"," George Eliot
Q: Who was", George Eliot
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What well-known mountain pass connects Pakistan and Afghanistan?\nA:""]",What well-known mountain pass connects Pakistan and Afghanistan?,"['kyber pass', 'khyber pass', 'khyber pass', 'kaiber pass', 'khyber gate', 'khaibar pass', 'درہ خیبر', 'khaiber pass']"," Khyber Pass
Q: What", Khyber Pass
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which son of a famous drummer played drums for The Who at Glastonbury this year ? he has toured with them since 1996?\nA:""]",Which son of a famous drummer played drums for The Who at Glastonbury this year ? he has toured with them since 1996?,"['zak starkey', 'zak starkey', 'zak starr']"," Pino Palladino
Q:", Pino Palladino
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the Muslim equivalent of the Red Cross\nA:""]",What is the Muslim equivalent of the Red Cross,"['red cross', 'jordan red crescent', 'red cross and red crescent movement', 'red cross and red crescent', 'american red crescent movement', 'red cross movement', 'red crescent', 'international red cross committee', 'jordan red crescent', 'international red crescent', 'international red cross and red crescent movement', 'international red cross and red crescent', 'red crescent', 'red crescent movement', 'fundamental principles of international red cross and red crescent movement', 'red cross or red crescent', 'international conference of red cross and red crescent', 'international federation of red cross', 'international federation of red cross', 'red cross of north korea', 'red crescent society', 'red crescent', 'red cross', 'red crescent society', 'red cresent', 'red crescent societies', 'international federation of red cross and red crescent', 'red cross movement', 'international red cross red crescent movement', 'international red cross and red crescent', 'red cross socieites']"," The Red Crescent
Q: What is", The Red Crescent
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which Czech tennis player knocked out Andy Murray in the fourth round of the Men's Singles at the French Open?\nA:""]",Which Czech tennis player knocked out Andy Murray in the fourth round of the Men's Singles at the French Open?,"['tomáš krupa', 'thomas berdych', 'tomas berdych', 'thomas berdych', 'tomáš berdych', 'berdych']"," Tomas Berdych
Q: Which", Tomas Berdych
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which actress played The Sculptress on TV?\nA:""]",Which actress played The Sculptress on TV?,"['pauline quirke', 'pauline quirke', 'pauline quirk']"," Kate Nelligan
Q: What", Kate Nelligan
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""What entertainment venue in New York City\'s Rockefeller Center, nicknamed """"the Showplace of the Nation"""", opened to the public in December 1932?""\nA:']","""What entertainment venue in New York City's Rockefeller Center, nicknamed """"the Showplace of the Nation"""", opened to the public in December 1932?""","['rcmh', 'radio city music hall', 'international music hall']"," The Radio City Music Hall
Q:", The Radio City Music Hall
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which island in the Grenadines of St. Vincent was bought by Colin Tennant in 1958? Princess Margaret built a holiday home there in the 1960's.\nA:""]",Which island in the Grenadines of St. Vincent was bought by Colin Tennant in 1958? Princess Margaret built a holiday home there in the 1960's.,"['mustique', 'mustique']"," Mustique
Q: What is the", Mustique
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: 'Yellow River' was a May 1970 No.1 for who?\nA:""]",'Yellow River' was a May 1970 No.1 for who?,"['christie', 'christie disambiguation']"," Christie
Q: Who was the first", Christie
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: US merchant and statesman John Hancock is remembered for his large and stylish signature on which document?\nA:""]",US merchant and statesman John Hancock is remembered for his large and stylish signature on which document?,"['american independance', 'us independence', 'us declaration of independence', 'united states declaration of indepedence', 'us independence', 'when in course of human events', 'unanimous declaration of thirteen united states of america', 'declaration of independence us', 'declaration of independunce', 'us declaration of independence', 'us declaration of independence', 'united states declaration of independence', 'their just powers', 'declaration of independence us', 'us declaration of independence', 'declaration of independence united states', 'american declaration of independance', 'declaration of independence of united states', 'just powers', 'united states declaration of independence', 'declaration of independence of united states of america', 'usa declaration of independence', 'declaration of independence of thirteen colonies', 'us declaration of independence', 'united states declaration of independence', 'decleration of independence', 'usa declaration of independence', 'declaration of indepedence of united states', 'declaration of indepedence united states', 'united states declaration of independence', 'declaration of independence', 'declaration of independence us', 'american declaration of independence', 'united states declaration of independence', 'declaration of independence usa', 'usa declaration of independence', 'declaration of independence', 'usa declaration of independence', 'year of independence of united states of america', 'us independence', 'declaration of american independence', 'u s declaration of independence', 'revolutionary war lawyers', 'american independence', 'us independence', 'american declaration of independence']"," The Declaration of Independence
Q: Which", The Declaration of Independence
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the county town of the Irish County Mayo?\nA:""]",What is the county town of the Irish County Mayo?,"['catlebar', 'castle of barry family', 'castle bar', 'caisleán bharraigh', 'caislean bharraigh', 'castlebar', 'castlebar mayo', 'cornanool']"," Castlebar
Q: What is the", Castlebar
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""What type of bird did William Wordsworth address with the words, """"Shall I call thee bird, or but a wandering voice""""?""\nA:']","""What type of bird did William Wordsworth address with the words, """"Shall I call thee bird, or but a wandering voice""""?""","['cuckoo', 'cuckoo', 'kukushka', 'cuckoo disambiguation', 'cuckoo movie', 'cuckoo']"," Skylark
Q: Who was the", Skylark
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: 'Original Pirate Material' was the 2002 debut album of which UK act?\nA:""]",'Original Pirate Material' was the 2002 debut album of which UK act?,"['streets', 'computers blues', 'streets', 'streets']"," The Streets
Q: What is the", The Streets
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which 18th century polymath invented the lightning rod, the flexible urinary catheter, and coined the phrase 'time is money'?\nA:""]","Which 18th century polymath invented the lightning rod, the flexible urinary catheter, and coined the phrase 'time is money'?","['tradesman of philidelphia', 'bin franklin', 'abigail afterwit', 'busybody', 'anthony afterwit', 'betty diligent', 'benjamin franklin', 'benjamin franklin', 'franklinian', 'friend to poor', 'ben franlkin', 'bejamin franklin', 'alice addertongue', 'sage of constitutional convention', 'franklinic', 'benjamin franklin', 'those who would give up essential liberty', 'ben franklin', 'b franklin', 'benjamin franklin bust', 'b franklin', 'abigail twitterfield', 'benjamin ben franklin', 'ben franklin', 'sidi mehemet ibrahim', 'b franklin']"," Benjamin Franklin
Q: Who was the", Benjamin Franklin
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which vitamin is also known as Niacin or Nicotinic Acid?\nA:""]",Which vitamin is also known as Niacin or Nicotinic Acid?,"['biii', 'b iii', 'b3 disambiguation', 'b3', 'b 3', 'b3', 'b03', 'b3 road', 'b3']"," Vitamin B3
Q: What is", Vitamin B3
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In 1914 a paleontologist suggested that what legend might have originated from Greeks interpreting the nasal cavity in the skull of prehistoric dwarf elephants as a large single eye-socket?\nA:""]",In 1914 a paleontologist suggested that what legend might have originated from Greeks interpreting the nasal cavity in the skull of prehistoric dwarf elephants as a large single eye-socket?,"['steropes', 'nohbudy', 'kyklopes', 'cyclop', 'biclops', 'stereopes', 'cyclopses', 'cyclops', 'kyklopês', 'kyklops']"," Cyclops
Q: Who was the", Cyclops
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""Which nation\'s record in the final of football\'s World Cup, reads """"played one - lost one""""?""\nA:']","""Which nation's record in the final of football's World Cup, reads """"played one - lost one""""?""","['swedish sin', 'swea region', 'sverige', 'swedish origin', 'schweden', 'kingdom of sweden', 'sweden', 'etymology of sweden', 'mainland sweden', 'konungariket sverige', 'ulf bergman', 'swedish climate', 'sweden', 'climate of sweden', 'iso 31661se', 'sveden', 'suecia', 'swedish realm', 'zweden']"," England
Q: Who was the first", England
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In which African country did the Mau Mau rebellion break out in October 1952 ?\nA:""]",In which African country did the Mau Mau rebellion break out in October 1952 ?,"['kenyan', 'prehistory of kenya', 'kenyaafrica', 'iso 31661ke', 'kenya', 'jamhuri ya kenya', 'kenya', 'republic of kenya', 'kenya disambiguation', 'etymology of kenya']"," Kenya
Q: Who was the first", Kenya
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Meaning Fox in Spanish, what was the secret identity of Don Diego De La Vega?\nA:""]","Meaning Fox in Spanish, what was the secret identity of Don Diego De La Vega?","['don diego vega', 'zorro comics', 'zorro don diego de vega', 'diego de la vega', 'lady rawhide', 'zorro', 'zorro productions inc', 'zorro reborn', 'alejandro de la vega', 'don diego de la vega', 'alejandro murrieta']"," Zorro
Q: What is the", Zorro
